label_vector,rewire_id,text,label_sexist,label_category,split
3.3 backhanded gendered compliments,sexism2022_english-12767,Thank you for all the women who are still sensible.,sexist,3. animosity,train
3.4 condescending explanations or unwelcome advice,sexism2022_english-13447,Ladies.... never get tattoos.,sexist,3. animosity,train
3.4 condescending explanations or unwelcome advice,sexism2022_english-6007,Also physical hard work renders women infertile.,sexist,3. animosity,train
3.4 condescending explanations or unwelcome advice,sexism2022_english-16290,All women benefit from the actions of violent men.,sexist,3. animosity,train
3.4 condescending explanations or unwelcome advice,sexism2022_english-7005,"Are your chromosomes XX? If so, you're 100% female.",sexist,3. animosity,test
3.4 condescending explanations or unwelcome advice,sexism2022_english-10708,"u can ask wifey to play, but you have to be a good girl",sexist,3. animosity,train
3.4 condescending explanations or unwelcome advice,sexism2022_english-5571,"A bullet doesn't give a shit about your gender, ladies.",sexist,3. animosity,train
3.4 condescending explanations or unwelcome advice,sexism2022_english-19305,"If ya want women to carry, tell them to turn on c-span...",sexist,3. animosity,test
3.4 condescending explanations or unwelcome advice,sexism2022_english-13828,That's why real women hate 2D women and want them desexualized :),sexist,3. animosity,train
3.4 condescending explanations or unwelcome advice,sexism2022_english-19167,"little girl, youre really the boss--come back tomorrow and find out how",sexist,3. animosity,train
3.4 condescending explanations or unwelcome advice,sexism2022_english-16085,"If she had settled down and had kids, she'd have been much happier: [URL]",sexist,3. animosity,train
4.1 supporting mistreatment of individual women,sexism2022_english-10824,She disobeyed her male keeper. She knew the rules.,sexist,4. prejudiced discussions,train
4.1 supporting mistreatment of individual women,sexism2022_english-10881,Not our fault she chose to date an abusive scumbag. 💀,sexist,4. prejudiced discussions,dev
4.1 supporting mistreatment of individual women,sexism2022_english-10769,"I bet a doughnut, that she says James O'Keefe raped her.",sexist,4. prejudiced discussions,train
4.1 supporting mistreatment of individual women,sexism2022_english-1096,Odin raped all those giant women and mortal women with their consent.,sexist,4. prejudiced discussions,test
4.1 supporting mistreatment of individual women,sexism2022_english-14674,"I got ""metoo-ed"" holy shit lol. It's funny and also scarily possible.",sexist,4. prejudiced discussions,train
4.1 supporting mistreatment of individual women,sexism2022_english-11915,[USER] At least you didn't accuse him of rape. Millennial woman would.,sexist,4. prejudiced discussions,train
4.1 supporting mistreatment of individual women,sexism2022_english-16448,"If these women had better personalities, maybe they wouldn’t get raped.",sexist,4. prejudiced discussions,test
4.1 supporting mistreatment of individual women,sexism2022_english-9026,All females must take collective responsibility for false rape accusations!,sexist,4. prejudiced discussions,test
4.1 supporting mistreatment of individual women,sexism2022_english-10267,Or because she could just say she was raped and everybody would believe her.,sexist,4. prejudiced discussions,train
4.1 supporting mistreatment of individual women,sexism2022_english-4238,Schrödingers sexual assault = When girls get approached from behind in a club,sexist,4. prejudiced discussions,train
4.2 supporting systemic discrimination against women as a group,sexism2022_english-5827,We ban females,sexist,4. prejudiced discussions,test
4.2 supporting systemic discrimination against women as a group,sexism2022_english-10252,Fuck women privilege,sexist,4. prejudiced discussions,train
4.2 supporting systemic discrimination against women as a group,sexism2022_english-3333,Take women's rights away.,sexist,4. prejudiced discussions,train
4.2 supporting systemic discrimination against women as a group,sexism2022_english-17212,until she divorce rapes him.,sexist,4. prejudiced discussions,train
4.2 supporting systemic discrimination against women as a group,sexism2022_english-11227,women's suffrage was a mistake,sexist,4. prejudiced discussions,train
4.2 supporting systemic discrimination against women as a group,sexism2022_english-2034,"First and foremost, fire all women.",sexist,4. prejudiced discussions,train
4.2 supporting systemic discrimination against women as a group,sexism2022_english-16219,Don't pay attention to what women say.,sexist,4. prejudiced discussions,test
4.2 supporting systemic discrimination against women as a group,sexism2022_english-8735,She got her equal rights... And lefts 😂,sexist,4. prejudiced discussions,train
4.2 supporting systemic discrimination against women as a group,sexism2022_english-19085,This is why women should have no rights.,sexist,4. prejudiced discussions,dev
4.2 supporting systemic discrimination against women as a group,sexism2022_english-10350,To female Bishops stop making fun of religion.,sexist,4. prejudiced discussions,test
