word,freq,freq_sexist,freq_not_sexist,text_ids,example_text
😠,12,1,11,"['sexism2022_english-9919' 'sexism2022_english-1404'
 'sexism2022_english-13362' 'sexism2022_english-3756'
 'sexism2022_english-2951' 'sexism2022_english-5961'
 'sexism2022_english-860']",I despise the woman who wrote this article bashing Ivanka Trump. Please read this and send her a message via Twitter telling her how you hate it too. [URL] Amanda Carpenter [URL] 😨😈😠
😆,11,3,8,"['sexism2022_english-19348' 'sexism2022_english-19834'
 'sexism2022_english-13422' 'sexism2022_english-9659'
 'sexism2022_english-7191' 'sexism2022_english-9695'
 'sexism2022_english-3307' 'sexism2022_english-840'
 'sexism2022_english-16516']","layin pipe lmfao, 😆 😆 😆 that pussy looking, milk toast mother fucker coudln't lay pipe if his name was Roto Rooter"
❤,11,1,10,"['sexism2022_english-1528' 'sexism2022_english-960'
 'sexism2022_english-10584' 'sexism2022_english-11748'
 'sexism2022_english-3384' 'sexism2022_english-17481'
 'sexism2022_english-10288' 'sexism2022_english-10036'
 'sexism2022_english-3204']","👍YES she needs to and she won't shy away form it , more power to her , i like her spunk !! 🌺💐🤗😘❤️️"
😉,11,2,9,"['sexism2022_english-16993' 'sexism2022_english-8396'
 'sexism2022_english-17547' 'sexism2022_english-15993'
 'sexism2022_english-2290' 'sexism2022_english-3293'
 'sexism2022_english-19186' 'sexism2022_english-5961'
 'sexism2022_english-4486' 'sexism2022_english-9889'
 'sexism2022_english-7472']","Then, she's a keeper. 😉"
😭,9,0,9,"['sexism2022_english-14544' 'sexism2022_english-18828'
 'sexism2022_english-17016' 'sexism2022_english-4848'
 'sexism2022_english-9659' 'sexism2022_english-18240'
 'sexism2022_english-7001']","One thing I do like from their shitholes is the beautiful smell of 420 goodness 😍 Its a very danky smell, but you grow to adore it like the woman one dreams of 😂😂😂😭😂😂😂😂🔥"
😘,9,0,9,"['sexism2022_english-1528' 'sexism2022_english-4489'
 'sexism2022_english-14781' 'sexism2022_english-9604'
 'sexism2022_english-18513' 'sexism2022_english-13863'
 'sexism2022_english-11138']","👍YES she needs to and she won't shy away form it , more power to her , i like her spunk !! 🌺💐🤗😘❤️️"
💩,9,1,8,"['sexism2022_english-17772' 'sexism2022_english-17269'
 'sexism2022_english-6537' 'sexism2022_english-5996'
 'sexism2022_english-860']",#UsefulIdiots of the Soros scam really are as thick as 💩. IQ of his feebleMinded dupes has a strong RACIAL Correlation.
🔥,9,2,7,"['sexism2022_english-14544' 'sexism2022_english-9086'
 'sexism2022_english-7050' 'sexism2022_english-10784'
 'sexism2022_english-9554' 'sexism2022_english-6604'
 'sexism2022_english-9952' 'sexism2022_english-4256']","One thing I do like from their shitholes is the beautiful smell of 420 goodness 😍 Its a very danky smell, but you grow to adore it like the woman one dreams of 😂😂😂😭😂😂😂😂🔥"
♥,8,5,3,"['sexism2022_english-7534' 'sexism2022_english-7319'
 'sexism2022_english-10784' 'sexism2022_english-11670']","[USER] I am in love with her coat, such a beautiful colour - fun & modern cut, whilst staying classically elegant ♥️"
😈,8,2,6,"['sexism2022_english-9919' 'sexism2022_english-12143'
 'sexism2022_english-11748' 'sexism2022_english-259'
 'sexism2022_english-12376' 'sexism2022_english-15807'
 'sexism2022_english-17681']",I despise the woman who wrote this article bashing Ivanka Trump. Please read this and send her a message via Twitter telling her how you hate it too. [URL] Amanda Carpenter [URL] 😨😈😠
😡,8,2,6,"['sexism2022_english-19816' 'sexism2022_english-11190'
 'sexism2022_english-283' 'sexism2022_english-4613'
 'sexism2022_english-302' 'sexism2022_english-2236'
 'sexism2022_english-15071' 'sexism2022_english-10477']",omg look at this little fucking nigger! The disgusting little nigger bastard is wearing a t-shirt bashing faggits! The shit-skin niglet turd is homophobic i hope his alcoholic drug addicted teenage single mother gets locked in prison for this! 😡
😀,8,3,5,"['sexism2022_english-3135' 'sexism2022_english-18463'
 'sexism2022_english-1260' 'sexism2022_english-4835']","[USER] well, as there's no #finance tag.. I would leave it open.. if not, I'd pick #lifestyle...> Money makes the world go round, so? 😀 Btw: we prefer #Brzz instead of BruXeLles 😋"
🤗,7,1,6,"['sexism2022_english-1528' 'sexism2022_english-960'
 'sexism2022_english-18513' 'sexism2022_english-13507'
 'sexism2022_english-13863']","👍YES she needs to and she won't shy away form it , more power to her , i like her spunk !! 🌺💐🤗😘❤️️"
😎,7,0,7,"['sexism2022_english-14781' 'sexism2022_english-17946'
 'sexism2022_english-14539' 'sexism2022_english-16688'
 'sexism2022_english-4662' 'sexism2022_english-16289'
 'sexism2022_english-664']","[URL] LOL! You are too cool, the Watchman Watcher. 😎 Every gal appreciates a man who keeps an eye out, at least I know I appreciate it.😘"
👹,7,0,7,"['sexism2022_english-10260' 'sexism2022_english-17985'
 'sexism2022_english-1085' 'sexism2022_english-860'
 'sexism2022_english-3771']",Obama didn’t get “played” by Iran. He wants Iran to be stronger & America weaker. He gave them $$ to keep the mullahs in power. 👹
🚂,7,0,7,['sexism2022_english-11338' 'sexism2022_english-1085'],BRAVO to #LatinosForTrump for bringing #RealTalk to the Clinton News Network! I just LOVE that many are getting LOUD about the FALSE narrative Hillary leads her supporters to believe. Lets #GabOn because #FactsMatter! 🚂🚂🚂 #MAGA 🚂🚂🚂 [URL]
😝,7,0,7,"['sexism2022_english-13687' 'sexism2022_english-10626'
 'sexism2022_english-11769' 'sexism2022_english-10993'
 'sexism2022_english-13531']",Damn I didn’t know I was a loser. Shouldn’t have denied all those free blow jobs and advances/invites. Im pretty sure I’ll find a woman that sees these as hot..after I approve 😝
🙃,7,1,6,"['sexism2022_english-3968' 'sexism2022_english-2766'
 'sexism2022_english-1260' 'sexism2022_english-13140'
 'sexism2022_english-637']",Wow 😮 dude I’m sooo sorry tell ur mom I’m sorry I had no idea ur an actual retard 👌🙃my bad
🐸,7,1,6,"['sexism2022_english-9316' 'sexism2022_english-19560'
 'sexism2022_english-14539' 'sexism2022_english-9673'
 'sexism2022_english-11879']",#Ebay 🐸 (100) Ultra Pro Life Magazine Size Storage Bags and BCW Boards Combo Lot $29.95 [URL]
😍,6,1,5,"['sexism2022_english-14544' 'sexism2022_english-10761'
 'sexism2022_english-13507' 'sexism2022_english-14860'
 'sexism2022_english-6363' 'sexism2022_english-17681']","One thing I do like from their shitholes is the beautiful smell of 420 goodness 😍 Its a very danky smell, but you grow to adore it like the woman one dreams of 😂😂😂😭😂😂😂😂🔥"
☪,6,0,6,['sexism2022_english-5205' 'sexism2022_english-5648'],"Germany: Muslim migrant stabs German woman to death on a Düsseldorf street. ☪️☪️☪️ More ""mental illness"" in Germany. At least that is what the MSM will tell us it is. SMH. #MondayMotivation #Dusseldorf [URL]"
✨,6,0,6,"['sexism2022_english-32' 'sexism2022_english-9489'
 'sexism2022_english-6876' 'sexism2022_english-13507']","yes ✨💫 Her spirit, energy, positivity has had a big impact on me. #ViciTrue and her family will always be in our hearts. thank u again for all that you've done 🌸 [URL]"
😃,6,0,6,"['sexism2022_english-17547' 'sexism2022_english-3293'
 'sexism2022_english-525' 'sexism2022_english-7705'
 'sexism2022_english-13691']",she's cool and a badass !! i know after two of the same stupid questions I would throw the Mic at them 80mph!! LMFAO 😉😃😄
🙈,5,0,5,"['sexism2022_english-14615' 'sexism2022_english-11103'
 'sexism2022_english-17224' 'sexism2022_english-1549']",[USER] No problem. I will just meditate on mind bleach 🙈. Just the idea of the woman in a pantsuit is enough to give me the willies but naked with Carlos Danger 🙈🙉🙊 😊
💥,5,0,5,"['sexism2022_english-14539' 'sexism2022_english-2959'
 'sexism2022_english-1708']",Oooh another one of these retards run along cuckgoblin. Oh wait lemme use a bunch of pointless emoji like a 13 year old girl so you understand me better!!! 😎🤣😅🙄🐸✌🤙👍👌💥
‼,5,0,5,"['sexism2022_english-302' 'sexism2022_english-12519'
 'sexism2022_english-7050' 'sexism2022_english-10036']",StumbleLina sure does have a lot of dead bodies piling up with her name written all over them‼️ 😡
🖕,5,3,2,"['sexism2022_english-1225' 'sexism2022_english-17968'
 'sexism2022_english-10693']","""for unknown reasons"" Lol I solved this one, the reason is because she was WHITE. Ok, another white targeted based on race, nothing to see here. Now get back on twitter and search for people telling the truth on islam 🖕"
😱,5,1,4,"['sexism2022_english-15421' 'sexism2022_english-12280'
 'sexism2022_english-12564' 'sexism2022_english-3152']",You always post the most beautiful flowers. I'm a sucker for pretty flowers and pretty girls!!! 😱🏵
🤡,5,4,1,"['sexism2022_english-16471' 'sexism2022_english-4275'
 'sexism2022_english-16461']",Cardi b aint shit she should be in jail smh clown lookin ass bitch 🤡
🤮,5,1,4,"['sexism2022_english-5761' 'sexism2022_english-1282'
 'sexism2022_english-5634' 'sexism2022_english-13364'
 'sexism2022_english-11769']",Shebby Dasserman Wultz 👎🤮
™,5,1,4,"['sexism2022_english-18107' 'sexism2022_english-19301'
 'sexism2022_english-9624' 'sexism2022_english-3335'
 'sexism2022_english-3144']","yeh well, there's not much eceleb status points to mentioning poor Ursula. She is just a stoic German woman who has told the Jews to fuck off with their Holocaust™ stories. [USER]"
😜,5,3,2,"['sexism2022_english-10109' 'sexism2022_english-5136'
 'sexism2022_english-12179' 'sexism2022_english-13820'
 'sexism2022_english-12149']","[USER] I followed you because [USER] is my #GabFam, which makes you my #GabFam. She up votes my lame posts which makes her alright in my book. I hope I can count on you to have equally bad taste. 😜"
😒,4,0,4,"['sexism2022_english-1758' 'sexism2022_english-6493'
 'sexism2022_english-1708' 'sexism2022_english-1549']",I’ve sent my mom spicier memes. 😒
🍻,4,1,3,"['sexism2022_english-19524' 'sexism2022_english-15428'
 'sexism2022_english-10618' 'sexism2022_english-11879']",The guy needs a medal🥇and a beer🍺 This man is a #Hero👊 #Beers🍻 for life! This is a man all daughters need as a 💪father. [URL]
😤,4,0,4,['sexism2022_english-19915' 'sexism2022_english-12646'],You should have stopped texting after she sent this: 😤 Not to punish her or anything but the interaction before that point was quite good. You create more attraction by leaving her with uncertainty.
🤷‍♂,4,1,3,"['sexism2022_english-8251' 'sexism2022_english-454'
 'sexism2022_english-17647' 'sexism2022_english-7756']",Idk I have a good relationship with my sister 🤷‍♂️
😹,4,0,4,['sexism2022_english-18008' 'sexism2022_english-2338'],[USER] I never involved my parents in my shanagins...why can't she let me live in blissful ignorance 😹
🙏,4,0,4,"['sexism2022_english-7486' 'sexism2022_english-6876'
 'sexism2022_english-2447' 'sexism2022_english-9112']","You go girl. Only one I will bow to is JESUS CHRIST my LORD. You are correct. Very well said.YEAH PRES. TRUMP, MAGA, 🗽🗽🗽🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🙏✝️"
🙊,4,0,4,"['sexism2022_english-16145' 'sexism2022_english-14615'
 'sexism2022_english-11103' 'sexism2022_english-1549']",[URL] A real monkey 🙊 bit me when I was a little girl 😂
👏,4,0,4,['sexism2022_english-11438' 'sexism2022_english-13770'],"Yep, in modern America when you molest little boys, you get a more lenient sentence (none) than stating verifiable facts about the holocaust in most of Europe. This is so something to celebrate. 👏. 👏. 👏."
😬,4,2,2,"['sexism2022_english-11620' 'sexism2022_english-11822'
 'sexism2022_english-7050' 'sexism2022_english-5961']",[USER] lmfao Heyyyy women 😬
😨,3,1,2,"['sexism2022_english-7530' 'sexism2022_english-9919'
 'sexism2022_english-6604']",[URL] So she's a Whore - what a 😨 shock
😳,3,1,2,"['sexism2022_english-283' 'sexism2022_english-16319'
 'sexism2022_english-8475']",A nigger loving White Woman on the Supreme Court . Exactly what I voted for 😳😡🤬🤯
💪,3,1,2,"['sexism2022_english-19524' 'sexism2022_english-6604'
 'sexism2022_english-14569']",The guy needs a medal🥇and a beer🍺 This man is a #Hero👊 #Beers🍻 for life! This is a man all daughters need as a 💪father. [URL]
😲,3,1,2,"['sexism2022_english-17448' 'sexism2022_english-2296'
 'sexism2022_english-6604']",They let their women carry!🤔😲
💖,3,1,2,"['sexism2022_english-10784' 'sexism2022_english-6876'
 'sexism2022_english-11189']","♫ #NowPlaying ♫ > Marina and The Diamonds ♥ ""Bubblegum Bitch"" ♥ (Live) ♪♫•*¨*•.¸¸. • * ¨` * ♥ ♥ ♥ #GabGF💖🎶 [USER] 🔥 [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] #GabFam #MAGA #GabGirls [URL]"
👉,3,0,3,['sexism2022_english-14570' 'sexism2022_english-8035'],"Reminder! #Hillary said she would most like to emulate Angela Merkel if elected 👉Under a Clinton Presidency, the American Muslim Population Would Exceed Germany's by 2024! Save the USA 👉 Vote #Trump! #MAGA #DrainTheSwamp"
😑,3,0,3,"['sexism2022_english-10235' 'sexism2022_english-16356'
 'sexism2022_english-5857']","Mr. Hitler was so sweet i wish i would have been born in Germany when He was President. I know not EVERYTHING He did was great, He did kill a lot of White American Christian soldiers but only becuz the scheming jews tricked them😑"
🤠,3,0,3,['sexism2022_english-18007'],"""Okcupid isn't real life!!"" 🤠🤠🤠 I'm not black you stupid fuck. I'm just better at reading statistics than you. There are others beyond that which also support my point."
👊,3,0,3,['sexism2022_english-19524' 'sexism2022_english-16289'],The guy needs a medal🥇and a beer🍺 This man is a #Hero👊 #Beers🍻 for life! This is a man all daughters need as a 💪father. [URL]
🤷🏻‍♂,3,0,3,"['sexism2022_english-17628' 'sexism2022_english-8138'
 'sexism2022_english-14356']",Lol what the hell? Just fuck her. Don't have to tell anyone. I lost mine to a bigger girl my freshman year of HS didn't tell anyone just carried the skills I learned with me 🤷🏻‍♂️
😰,3,0,3,['sexism2022_english-13872'],"You're brainwashed! A jew, not just talmud, phallic worship But the bullshit mysticism kabb alah (close to their Muslim brothers) And white Americans believe she and Pamela Gellar are spokespeople? 😰😰😰😰😰😰😰😰😰😰😰😰"
🤤,3,0,3,['sexism2022_english-16988' 'sexism2022_english-12320'],"In a bar in San Antonio Texas in 80s, British chic asked if I had hair spray. For the braided hair under her arms. <gag>....🤤🤤"
🙉,3,0,3,"['sexism2022_english-14615' 'sexism2022_english-11103'
 'sexism2022_english-1549']",[USER] No problem. I will just meditate on mind bleach 🙈. Just the idea of the woman in a pantsuit is enough to give me the willies but naked with Carlos Danger 🙈🙉🙊 😊
❓,3,0,3,['sexism2022_english-4225' 'sexism2022_english-15052'],"Australian Shepherd Q & A 🐾❓ Major Itchy Skin [URL] Please take a moment to Like, Comment, and Share because it really helps to get the word out to fellow Aussie Lovers. :) #australianshepherd #dogs"
🏳,3,0,3,['sexism2022_english-5648'],Canada: Human Rights Tribunal takes case of transgender woman denied service at waxing spa by Muslim woman ☪️☪️☪️🏳️‍🌈🏳️‍🌈🏳️‍🌈 Watch this story closely. Liberals are in a conundrum. 😂😂😂 #TuesdayThoughts #LGBT #LGBTQ [URL]
🤬,3,0,3,"['sexism2022_english-283' 'sexism2022_english-9554'
 'sexism2022_english-16094']",A nigger loving White Woman on the Supreme Court . Exactly what I voted for 😳😡🤬🤯
🗽,3,0,3,['sexism2022_english-7486'],"You go girl. Only one I will bow to is JESUS CHRIST my LORD. You are correct. Very well said.YEAH PRES. TRUMP, MAGA, 🗽🗽🗽🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🙏✝️"
❗,3,0,3,['sexism2022_english-19342'],"Reality ✅..if Hillary had won, we'd be in deep shit right now..A true police state. #Antifa would be her military..❗❗❗"
😇,3,0,3,['sexism2022_english-18581' 'sexism2022_english-18513'],Shame she didn't just call them stupid too. 😇
😸,3,0,3,['sexism2022_english-19384'],"Thought: God took on flesh by being born to a woman (became incarnate). Perhaps that is why the Left is so obsessed with their Pink P😸😸😸y hats and menstrual blood and wombs, etc etc. They are yearning for the mother who points the way toward her Son."
🌈,2,0,2,['sexism2022_english-2275'],"tldr: OP wants a quality relationship, not a pump n dump, respect his opinions as his own cuz he ain't you. Also you insinuate it's a mans right to have sex whether girls want it or not. Fun fact that's called 🌈⭐ *rApE* ⭐🌈"
🤢,2,1,1,['sexism2022_english-13364' 'sexism2022_english-11769'],Omg if I had a quarter for all them ugly ass bitches on them apps 🤣 🤢🤮 nothing but far ugly shrek type women.
😐,2,1,1,['sexism2022_english-19123' 'sexism2022_english-16665'],Guys... if you had sex with a liberal woman in the past... hope you’re prepared to be investigated for sex assault. The world we live in now. 😐
😣,2,0,2,['sexism2022_english-6202' 'sexism2022_english-8366'],Ugh 😣 my white wife sucks. They've turned into niggers
🚩,2,0,2,['sexism2022_english-3136'],you pulling out one of the worst insults you can give a woman for a yikes 🚩🚩
⭐,2,0,2,['sexism2022_english-2275'],"tldr: OP wants a quality relationship, not a pump n dump, respect his opinions as his own cuz he ain't you. Also you insinuate it's a mans right to have sex whether girls want it or not. Fun fact that's called 🌈⭐ *rApE* ⭐🌈"
⁉,2,0,2,['sexism2022_english-1297' 'sexism2022_english-14040'],"Germany: Wave of Muslim #HonorKillings: Kurdish man who tied one of his three wives to the back of a car and dragged her through the streets of a town #Islam, the ""Peaceful⁉️ [URL]"
😮,2,0,2,['sexism2022_english-3968' 'sexism2022_english-2857'],Wow 😮 dude I’m sooo sorry tell ur mom I’m sorry I had no idea ur an actual retard 👌🙃my bad
🧠,2,0,2,['sexism2022_english-3148' 'sexism2022_english-2248'],I don’t think this is the same woman Teeth Are WAY MORE CURVED as a set is NEW 🧠 pussy hat pic wider in sunglasses pic! look for yourself. Laugh lines off too
🤦🏼‍♂,2,0,2,['sexism2022_english-16863' 'sexism2022_english-5575'],Found the incel 🤦🏼‍♂️
👑,2,0,2,['sexism2022_english-19504' 'sexism2022_english-11189'],K I N G 👑
☝,2,1,1,['sexism2022_english-16166' 'sexism2022_english-17536'],☝️😄 .... 40 years from now she'll complain that she was forced into exploiting her sexuality in order to feed herself and sue MANkind 😂🤣😂 #MAGA #FeminismIsCancer
🤨,2,0,2,['sexism2022_english-10069' 'sexism2022_english-1549'],Hey dumbass. Everyone has to learn the hot pan lesson. its not “inherently” passed down through genetics. Lol you’re truly are an idiot. 🤨
🆘,2,0,2,['sexism2022_english-7050' 'sexism2022_english-9843'],"🆘‼️😬🔥 Germany: woman ask #Merkel what she wants to do against increased numbers of rape by migrants. Merkel: ""There were also rapes before."" [URL]"
😔,2,1,1,['sexism2022_english-15767' 'sexism2022_english-16473'],Fucking vermin!!! Sick bastards!! But this chick should have never gone to a room with a stranger alone!! 😔 Poor girl!!
☠,2,1,1,['sexism2022_english-3231' 'sexism2022_english-4613'],"and, for that, we thank her... ☠️"
🎶,2,1,1,['sexism2022_english-10784' 'sexism2022_english-17621'],"♫ #NowPlaying ♫ > Marina and The Diamonds ♥ ""Bubblegum Bitch"" ♥ (Live) ♪♫•*¨*•.¸¸. • * ¨` * ♥ ♥ ♥ #GabGF💖🎶 [USER] 🔥 [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] #GabFam #MAGA #GabGirls [URL]"
✝,2,1,1,['sexism2022_english-4613' 'sexism2022_english-7486'],We will pay you well for the name and/or whereabouts of this scumbag girl!!! Trust us!✝☠😡
🐰,2,1,1,['sexism2022_english-11985' 'sexism2022_english-10858'],"I usually hate to see white girls with nig nogs, not this time! 🐰 [URL]"
💋,2,1,1,['sexism2022_english-2766' 'sexism2022_english-9604'],You islamaphobe mongrel of a mutt cunt🙃💋how dare you? [URL]
🌺,2,0,2,['sexism2022_english-1528' 'sexism2022_english-6876'],"👍YES she needs to and she won't shy away form it , more power to her , i like her spunk !! 🌺💐🤗😘❤️️"
🧟‍♀,2,0,2,['sexism2022_english-19147'],"Don’t worry about the Brain Dead Leftovers, they HATE everyone and everything, they hate their mothers, themselves and the DEAD. They are no more than ZOMBIES.🧟‍♂️🧟‍♀️🧟‍♂️🧟‍♀️"
🚨,2,0,2,['sexism2022_english-11022'],🚨 IMPORTANT MESSAGE 🚨 Higher Priorities For The Alt-Right: by Christopher Cantwell #NoWarInSyria [URL] #Identitarianism #WhiteNationalism #WhiteNationalists #AltRight #NatSoc #AmNat #AltLite #NewRight #DissidentRight #NatRight #UniteTheWhite
🧟‍♂,2,0,2,['sexism2022_english-19147'],"Don’t worry about the Brain Dead Leftovers, they HATE everyone and everything, they hate their mothers, themselves and the DEAD. They are no more than ZOMBIES.🧟‍♂️🧟‍♀️🧟‍♂️🧟‍♀️"
